Location,Building Short Name,Floor #,Std_or_AWP,Capacity,Fiscal Year
Bangalore,BAN-4A,8th Floor,AWP,12,FY2025
Bangalore,BAN-4A,8th Floor,AWP,12,FY2026
Bangalore,BAN-4A,8th Floor,AWP,12,FY2027
Bangalore,BAN-4A,8th Floor,AWP,12,FY2028
Bangalore,BAN-4A,8th Floor,AWP,12,FY2029
Bangalore,BAN-4A,8th Floor,AWP,12,FY2030
Bangalore,BAN-4A,4th Floor,STD,225,FY2025
Bangalore,BAN-4A,4th Floor,STD,225,FY2026
Bangalore,BAN-4A,4th Floor,STD,225,FY2027
Bangalore,BAN-4A,4th Floor,STD,225,FY2028
Bangalore,BAN-4A,4th Floor,STD,225,FY2029
Bangalore,BAN-4A,4th Floor,STD,225,FY2030
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2025
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2026
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2027
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2028
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2029
Atlanta,ATL-03,T1 - 5th Floor,AWP,35,FY2030
Tel Aviv,TLV-02,5th Floor,STD,101,FY2025
Tel Aviv,TLV-02,5th Floor,STD,101,FY2026
Tel Aviv,TLV-02,5th Floor,STD,101,FY2027
Tel Aviv,TLV-02,5th Floor,STD,101,FY2028
Tel Aviv,TLV-02,5th Floor,STD,101,FY2029
Tel Aviv,TLV-02,5th Floor,STD,101,FY2030
Bangalore,BAN-08,5th Floor,AWP,18,FY2025
Bangalore,BAN-08,5th Floor,AWP,18,FY2026
Bangalore,BAN-08,5th Floor,AWP,18,FY2027
Bangalore,BAN-08,5th Floor,AWP,18,FY2028
Bangalore,BAN-08,5th Floor,AWP,18,FY2029
Bangalore,BAN-08,5th Floor,AWP,18,FY2030
Los Angeles,LOS-01,22nd Floor,STD,140,FY2025
Los Angeles,LOS-01,22nd Floor,STD,140,FY2026
Los Angeles,LOS-01,22nd Floor,STD,140,FY2027
Los Angeles,LOS-01,22nd Floor,STD,140,FY2028
Los Angeles,LOS-01,22nd Floor,STD,140,FY2029
Los Angeles,LOS-01,22nd Floor,STD,140,FY2030
Plano,PLN-B,2nd Floor,STD,150,FY2025
Plano,PLN-B,2nd Floor,STD,150,FY2026
Plano,PLN-B,2nd Floor,STD,150,FY2027
Plano,PLN-B,2nd Floor,STD,150,FY2028
Plano,PLN-B,2nd Floor,STD,150,FY2029
Plano,PLN-B,2nd Floor,STD,150,FY2030
Bangalore,BAN-08,3rd Floor,AWP,15,FY2025
Bangalore,BAN-08,3rd Floor,AWP,15,FY2026
Bangalore,BAN-08,3rd Floor,AWP,15,FY2027
Bangalore,BAN-08,3rd Floor,AWP,15,FY2028
Bangalore,BAN-08,3rd Floor,AWP,15,FY2029
Bangalore,BAN-08,3rd Floor,AWP,15,FY2030
Mountain View,MTV-04,1st Floor,STD,113,FY2025
Mountain View,MTV-04,1st Floor,STD,113,FY2026
Mountain View,MTV-04,1st Floor,STD,113,FY2027
Mountain View,MTV-04,1st Floor,STD,113,FY2028
